Path,Instrument (in full),mel_spectrum,audio,pseudo
Brass/Bass_Tuba/ordinario/BTb-ord-E2-pp-N-T25u.wav,Bass Tuba,"[[[[0.38878474]
   [0.3791357 ]
   [0.38089013]
   ...
   [0.5322612 ]
   [0.55434144]
   [0.62276876]]

  [[0.4448739 ]
   [0.43431982]
   [0.37992534]
   ...
   [0.4551486 ]
   [0.36486655]
   [0.5114071 ]]

  [[0.49543628]
   [0.43932137]
   [0.41722903]
   ...
   [0.40781814]
   [0.44143844]
   [0.50012016]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[-3.0656811e-06  4.8712245e-06 -1.2173434e-05 ... -6.5722597e-06
  1.0060376e-05 -1.8415280e-05]",5
Brass/Bass_Tuba/ordinario/BTb-ord-F2-pp-N-T25u_R100u.wav,Bass Tuba,"[[[[0.37435323]
   [0.37212378]
   [0.39579526]
   ...
   [0.5465156 ]
   [0.59897953]
   [0.64745015]]

  [[0.43493518]
   [0.41549388]
   [0.38702106]
   ...
   [0.42894334]
   [0.46422657]
   [0.45180497]]

  [[0.47064176]
   [0.4083856 ]
   [0.36413988]
   ...
   [0.35796586]
   [0.49711424]
   [0.47516346]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[ 9.1847323e-06  1.0699034e-05  1.0258664e-05 ... -9.7041138e-06
 -3.4263305e-06  1.7515902e-05]",5
Brass/Bass_Tuba/ordinario/BTb-ord-F#2-pp-N-T14u.wav,Bass Tuba,"[[[[0.2680131 ]
   [0.4558546 ]
   [0.4963056 ]
   ...
   [0.53614473]
   [0.5806082 ]
   [0.6157936 ]]

  [[0.4568084 ]
   [0.4863704 ]
   [0.40843147]
   ...
   [0.2693205 ]
   [0.45252448]
   [0.40864912]]

  [[0.51968086]
   [0.49659577]
   [0.34288344]
   ...
   [0.5096635 ]
   [0.42091998]
   [0.4037674 ]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[-1.1698416e-05 -2.7355200e-05  1.8946303e-05 ...  5.6887075e-06
 -7.6024226e-06  1.0241798e-05]",6
Brass/Bass_Tuba/ordinario/BTb-ord-G2-pp-N-N.wav,Bass Tuba,"[[[[0.44085908]
   [0.42530155]
   [0.42746124]
   ...
   [0.55149066]
   [0.5655354 ]
   [0.6029271 ]]

  [[0.46930376]
   [0.40283537]
   [0.36295328]
   ...
   [0.44036856]
   [0.30661434]
   [0.40487307]]

  [[0.5137246 ]
   [0.4578649 ]
   [0.43645254]
   ...
   [0.3826901 ]
   [0.22069797]
   [0.40670148]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[ 6.6564826e-06 -1.0726741e-05  3.6787824e-06 ... -9.7574957e-07
  7.2044350e-07 -5.3100302e-07]",5
Brass/Bass_Tuba/ordinario/BTb-ord-G#2-pp-N-T16u.wav,Bass Tuba,"[[[[0.35264176]
   [0.4042503 ]
   [0.4279148 ]
   ...
   [0.5266701 ]
   [0.53863347]
   [0.56423724]]

  [[0.3751877 ]
   [0.10151787]
   [0.28737277]
   ...
   [0.41686815]
   [0.38143453]
   [0.42840642]]

  [[0.32204238]
   [0.3160863 ]
   [0.40126   ]
   ...
   [0.24052969]
   [0.41695184]
   [0.38919973]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[ 7.8682206e-08 -6.1678293e-07  5.2888208e-06 ...  9.0044705e-07
  1.4519157e-05  6.3935386e-07]",5
Brass/Bass_Tuba/ordinario/BTb-ord-A2-pp-N-T15u.wav,Bass Tuba,"[[[[0.48727235]
   [0.5470052 ]
   [0.49668846]
   ...
   [0.5093937 ]
   [0.54140806]
   [0.6115877 ]]

  [[0.43996683]
   [0.4065431 ]
   [0.44534174]
   ...
   [0.36007985]
   [0.35743695]
   [0.4491852 ]]

  [[0.38478628]
   [0.38986826]
   [0.4030303 ]
   ...
   [0.3201004 ]
   [0.2813557 ]
   [0.3215714 ]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[ 1.6083475e-05 -1.6181148e-05 -1.4586491e-05 ...  7.3431875e-07
 -7.9792517e-07  8.3186023e-07]",5
Brass/Bass_Tuba/ordinario/BTb-ord-A#2-pp-N-N.wav,Bass Tuba,"[[[[0.37013787]
   [0.3568616 ]
   [0.43902344]
   ...
   [0.4995624 ]
   [0.5494594 ]
   [0.5862365 ]]

  [[0.39624244]
   [0.3342821 ]
   [0.2660458 ]
   ...
   [0.31011248]
   [0.37676364]
   [0.3704831 ]]

  [[0.41557455]
   [0.38398242]
   [0.2582813 ]
   ...
   [0.39796835]
   [0.41044188]
   [0.43145505]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[-2.4889596e-06 -6.6084322e-06  2.6594149e-05 ...  8.8990255e-06
  1.7295086e-05 -6.9114217e-06]",5
Brass/Bass_Tuba/ordinario/BTb-ord-B2-pp-N-T11d.wav,Bass Tuba,"[[[[0.17903137]
   [0.44220677]
   [0.46390137]
   ...
   [0.49695054]
   [0.5405509 ]
   [0.55964553]]

  [[0.35318857]
   [0.43444672]
   [0.41302624]
   ...
   [0.3761711 ]
   [0.37251362]
   [0.30564204]]

  [[0.414002  ]
   [0.16620903]
   [0.4529925 ]
   ...
   [0.40119052]
   [0.37599522]
   [0.2983182 ]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[-1.3921788e-05 -1.4715624e-06  1.6414269e-06 ...  4.0262821e-06
 -2.5673653e-06  1.8967994e-06]",5
Brass/Bass_Tuba/ordinario/BTb-ord-C3-pp-N-T11d.wav,Bass Tuba,"[[[[0.41447577]
   [0.37876096]
   [0.4136861 ]
   ...
   [0.5299892 ]
   [0.5536431 ]
   [0.5775405 ]]

  [[0.4225854 ]
   [0.39669222]
   [0.3384901 ]
   ...
   [0.29140586]
   [0.27179337]
   [0.3438979 ]]

  [[0.40659413]
   [0.38694555]
   [0.32272848]
   ...
   [0.2881779 ]
   [0.29387158]
   [0.27801085]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[ 1.8940773e-07 -1.9441359e-07 -3.2631215e-07 ... -2.4525338e-05
  1.7545746e-05 -6.2979780e-07]",5
Brass/Bass_Tuba/ordinario/BTb-ord-C#3-pp-N-N.wav,Bass Tuba,"[[[[0.3503107 ]
   [0.2548379 ]
   [0.30449766]
   ...
   [0.5392511 ]
   [0.57464886]
   [0.6096599 ]]

  [[0.41648307]
   [0.365938  ]
   [0.1435461 ]
   ...
   [0.3924592 ]
   [0.30817667]
   [0.41383433]]

  [[0.4458825 ]
   [0.43563604]
   [0.36396384]
   ...
   [0.38009563]
   [0.31305638]
   [0.4102357 ]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[ 1.4450226e-05  9.2433766e-07 -1.1186930e-06 ...  1.9588006e-05
  2.1472770e-05 -9.4616553e-07]",5
Brass/Bass_Tuba/ordinario/BTb-ord-D3-pp-N-N.wav,Bass Tuba,"[[[[0.4003294 ]
   [0.43355435]
   [0.4378311 ]
   ...
   [0.47695264]
   [0.53489983]
   [0.57352966]]

  [[0.3231594 ]
   [0.37398782]
   [0.39731687]
   ...
   [0.25663012]
   [0.38107768]
   [0.2761849 ]]

  [[0.38968906]
   [0.3931068 ]
   [0.2992614 ]
   ...
   [0.29957098]
   [0.33288175]
   [0.28464714]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[ 4.8936345e-06 -1.3224577e-05  1.6357459e-05 ...  6.8364589e-06
  2.0861057e-06 -8.9071312e-07]",5
Brass/Bass_Tuba/ordinario/BTb-ord-D#3-pp-N-N.wav,Bass Tuba,"[[[[0.38096914]
   [0.43259826]
   [0.36843652]
   ...
   [0.5340459 ]
   [0.57553047]
   [0.5880982 ]]

  [[0.3392579 ]
   [0.40528384]
   [0.30867147]
   ...
   [0.39221448]
   [0.32468575]
   [0.30606523]]

  [[0.38432866]
   [0.35480767]
   [0.31012273]
   ...
   [0.30317497]
   [0.2643631 ]
   [0.28909367]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[ 2.3772707e-05  3.0813855e-05  3.6080834e-05 ... -7.4620118e-07
  6.1503147e-07 -4.9690698e-07]",5
Brass/Bass_Tuba/ordinario/BTb-ord-E3-pp-N-N.wav,Bass Tuba,"[[[[0.34357986]
   [0.35088795]
   [0.25727558]
   ...
   [0.47686633]
   [0.50481266]
   [0.52307093]]

  [[0.28409976]
   [0.26694617]
   [0.13615465]
   ...
   [0.37540466]
   [0.25118953]
   [0.30942363]]

  [[0.2855424 ]
   [0.34719315]
   [0.3417042 ]
   ...
   [0.22946863]
   [0.30624843]
   [0.2646203 ]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[-2.2228924e-06  7.2007824e-06  3.7487538e-05 ...  1.5897779e-06
 -1.5435255e-06  1.6726779e-05]",5
Brass/Bass_Tuba/ordinario/BTb-ord-F3-pp-N-N.wav,Bass Tuba,"[[[[0.237638  ]
   [0.3274588 ]
   [0.37942824]
   ...
   [0.44914046]
   [0.53871745]
   [0.55828035]]

  [[0.2189269 ]
   [0.33982763]
   [0.2093071 ]
   ...
   [0.32360488]
   [0.42383966]
   [0.35526752]]

  [[0.32258734]
   [0.3527871 ]
   [0.28953204]
   ...
   [0.28334203]
   [0.31280723]
   [0.36195797]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[-1.3685785e-06 -1.3325131e-05 -3.1385571e-06 ... -7.7544973e-07
  2.6537782e-07 -6.2627805e-09]",5
Brass/Bass_Tuba/ordinario/BTb-ord-F#3-pp-N-N.wav,Bass Tuba,"[[[[0.28888327]
   [0.21999149]
   [0.33270603]
   ...
   [0.51698446]
   [0.5599116 ]
   [0.5695753 ]]

  [[0.36112872]
   [0.33229774]
   [0.32965794]
   ...
   [0.38799882]
   [0.35042787]
   [0.34031677]]

  [[0.4040177 ]
   [0.37550396]
   [0.21325397]
   ...
   [0.23191366]
   [0.28818122]
   [0.35773236]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[ 1.3231358e-05  2.3430912e-06 -2.7538626e-06 ... -5.9520044e-06
  2.7334117e-05  2.2901819e-05]",5
Brass/Bass_Tuba/ordinario/BTb-ord-G3-pp-N-T14d.wav,Bass Tuba,"[[[[0.47120947]
   [0.4793869 ]
   [0.5056886 ]
   ...
   [0.48512262]
   [0.51270396]
   [0.6012869 ]]

  [[0.47397184]
   [0.27788353]
   [0.450445  ]
   ...
   [0.26115537]
   [0.33504248]
   [0.47292018]]

  [[0.4879164 ]
   [0.5116919 ]
   [0.48485416]
   ...
   [0.43935698]
   [0.38455352]
   [0.4247427 ]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[-7.4328855e-06 -3.2529351e-07  2.6467314e-06 ...  4.7605499e-07
 -1.3203629e-05  5.2307751e-06]",5
Brass/Bass_Tuba/ordinario/BTb-ord-G#3-pp-N-N.wav,Bass Tuba,"[[[[0.3883813 ]
   [0.43038955]
   [0.42752188]
   ...
   [0.49460235]
   [0.5608719 ]
   [0.5879712 ]]

  [[0.23521796]
   [0.3038664 ]
   [0.3948771 ]
   ...
   [0.28656998]
   [0.4223725 ]
   [0.38571906]]

  [[0.26368442]
   [0.11266212]
   [0.3147706 ]
   ...
   [0.32428947]
   [0.30934143]
   [0.31920594]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[-2.5775516e-06  8.0454629e-06  3.2723416e-05 ... -1.2160644e-06
  1.0877898e-06 -9.8705277e-07]",5
Brass/Bass_Tuba/ordinario/BTb-ord-A3-pp-N-N.wav,Bass Tuba,"[[[[0.32868892]
   [0.38902226]
   [0.34696847]
   ...
   [0.4817192 ]
   [0.5578583 ]
   [0.5867878 ]]

  [[0.3383705 ]
   [0.33639154]
   [0.33495206]
   ...
   [0.26200548]
   [0.40459505]
   [0.3114482 ]]

  [[0.25132912]
   [0.28225508]
   [0.16820207]
   ...
   [0.26632947]
   [0.27543432]
   [0.17985196]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[-3.7588179e-06  1.0686694e-05  7.9853926e-06 ...  8.6119690e-06
 -1.0494565e-05 -3.7436475e-06]",2
Brass/Bass_Tuba/ordinario/BTb-ord-A#3-pp-N-T13d.wav,Bass Tuba,"[[[[0.2145751 ]
   [0.3426029 ]
   [0.40104848]
   ...
   [0.5206672 ]
   [0.5401703 ]
   [0.5602474 ]]

  [[0.34712583]
   [0.3628602 ]
   [0.35135764]
   ...
   [0.3548132 ]
   [0.31276718]
   [0.33724394]]

  [[0.3810664 ]
   [0.33690754]
   [0.24710312]
   ...
   [0.2677122 ]
   [0.31526652]
   [0.2563444 ]]

  ...

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]

  [[0.        ]
   [0.        ]
   [0.        ]
   ...
   [0.        ]
   [0.        ]
   [0.        ]]]]","[-1.1111610e-05  7.4515119e-06  2.2555469e-07 ... -6.8717236e-07
  1.7808978e-05 -9.3435920e-06]",5
